campus_abbreviation,campus_name,building_abbreviation,building_name
utm,Main Campus,ACS,AUTRY C. STEPHENS ENGR DISC BLDG
utm,Main Campus,ADH,ALMETRIS DUREN RESIDENCE HALL
utm,Main Campus,AF1,ATHLETIC FIELDS PAVILION (REHAB)
utm,Main Campus,AF2,ATHLETIC FIELDS PAVILION (EASTSIDE)
utm,Main Campus,AFP,ATHLETIC FIELDS PAVILION
utm,Main Campus,AHG,ANNA HISS GYMNASIUM
utm,Main Campus,ANB,ARNO NOWOTNY BUILDING
utm,Main Campus,AND,ANDREWS RESIDENCE HALL
utm,Main Campus,ART,ART BUILDING AND MUSEUM
utm,Main Campus,ASE,AEROSPACE ENGINEERING BUILDING
utm,Main Campus,ATT,AT&T EXECUTIVE EDUC & CONF CENTER
utm,Main Campus,BAT,BATTS HALL
utm,Main Campus,BBR,BASKETBALL & ROWING TRAINING FAC
utm,Main Campus,BEL,L. THEO BELLMONT HALL
utm,Main Campus,BEN,BENEDICT HALL
utm,Main Campus,BHD,BRACKENRIDGE RESIDENCE HALL
utm,Main Campus,BIO,BIOLOGICAL LABORATORIES
utm,Main Campus,BLD,BLANTON RESIDENCE HALL
utm,Main Campus,BMA,JACK S. BLANTON MUSEUM OF ART
utm,Main Campus,BME,BIOMEDICAL ENGINEERING BUILDING
utm,Main Campus,BMK,BLANTON MUSEUM ELLSWORTH KELLY
utm,Main Campus,BMS,BLANTON MUSEUM SMITH BUILDING
utm,Main Campus,BOT,BIOLOGICAL GREENHOUSE
utm,Main Campus,BRB,BERNARD AND AUDRE RAPOPORT BUILDING
utm,Main Campus,BRG,BRAZOS GARAGE
utm,Main Campus,BSB,BASKETBALL SUPPORT BLDG (REC SPORT)
utm,Main Campus,BTL,BATTLE HALL
utm,Main Campus,BUR,BURDINE HALL
utm,Main Campus,BWY,2616 WICHITA (BRIDGEWAY)
utm,Main Campus,CAL,CALHOUN HALL
utm,Main Campus,CBA,COLLEGE OF BUSINESS ADMINISTRATION
utm,Main Campus,CCG,CONFERENCE CENTER GARAGE
utm,Main Campus,CCJ,CONNALLY CENTER FOR JUSTICE
utm,Main Campus,CDA,COMAL CHILD DEVELOPMENT CTR ANNEX
utm,Main Campus,CDL,COLLECTIONS DEPOSIT LIBRARY
utm,Main Campus,CLK,CAVEN CLARK FIELD SUPPORT BUILDING
utm,Main Campus,CMA,JESSE H. JONES COMM. CTR. (BLDG. A)
utm,Main Campus,CMB,JESSE H. JONES COMM. CTR. (BLDG. B)
utm,Main Campus,CML,COMAL ST. CHILD DEVELOPMENT CENTER
utm,Main Campus,CPC,CPC FIELD STAFF OFFICE
utm,Main Campus,CPE,CHEMICAL AND PETROLEUM ENGINEERING
utm,Main Campus,CRD,CAROTHERS RESIDENCE HALL
utm,Main Campus,CRH,CREEKSIDE RESIDENCE HALL
utm,Main Campus,D21,DOBIE TWENTY21
utm,Main Campus,DEV,DEVELOPMENT OFFICE BUILDING
utm,Main Campus,DFA,E. WILLIAM DOTY FINE ARTS BUILDING
utm,Main Campus,DFF,UFCU DISCH-FALK FIELD
utm,Main Campus,DMC,G. B. DEALEY CENTER FOR NEW MEDIA
utm,Main Campus,E11,EQUIPMENT STOREHOUSE # 11
utm,Main Campus,E13,EQUIPMENT STOREHOUSE # 13
utm,Main Campus,E15,EQUIPMENT STOREHOUSE # 15
utm,Main Campus,E23,EQUIPMENT STOREHOUSE # 23
utm,Main Campus,E24,EQUIPMENT STOREHOUSE # 24
utm,Main Campus,E25,EQUIPMENT STOREHOUSE # 25
utm,Main Campus,E26,EQUIPMENT STOREHOUSE #26
utm,Main Campus,E27,EQUIPMENT STOREHOUSE #27
utm,Main Campus,ECG,EAST CAMPUS GARAGE
utm,Main Campus,ECJ,ERNEST COCKRELL JR. HALL
utm,Main Campus,EER,ENGR EDUCATION AND RESEARCH CENTER
utm,Main Campus,EPS,E.P. SCHOCH BUILDING
utm,Main Campus,ETC,ENGINEERING TEACHING CENTER II
utm,Main Campus,FAC,PETER T. FLAWN ACADEMIC CENTER
utm,Main Campus,FC1,FACILITIES COMPLEX BLDG. 1
utm,Main Campus,FC2,FACILITIES COMPLEX BLDG. 2
utm,Main Campus,FC3,FACILITIES COMPLEX BLDG. 3
