course,unique,days,hour,room,instruction_mode,instructor,status,level
AAS  301 INTRO TO ASIAN AMER STUDIES,35134,MWF,1:00 p.m.-2:00 p.m.,RLP 0.126,Face-to-face,"SCHLUND-VIALS, CATHY JEAN",open,Lower
AAS  302 IMMIGRATION AND ETHNICITY,35135,TTH,8:00 a.m.-9:30 a.m.,JGB 2.218,Face-to-face,"CORTEZ, JONATHAN",waitlisted,Lower
AAS  310 ASIAN AMERICAN VISUAL ARTS,35140,MW,3:30 p.m.-5:00 p.m.,DFA 2.204,Face-to-face,"KIM, ALLISON ROBIN",open,Lower
AAS  310 1-PSY PERSP ASIAN AMER IDENT,35145,TTH,12:30 p.m.-2:00 p.m.,GEA 127,Face-to-face,"JIN, ARNOLD R",open,Lower
AAS  310 6-ASIAN AMERICAN FILM HISTORY,35150,TTH,11:00 a.m.-12:30 p.m.,,Face-to-face,"HO, XUAN AN",cancelled,Lower
AAS  312 INTRO TO ASIAN AMERICAN HIST,35155,MWF,1:00 p.m.-2:00 p.m.,,Face-to-face,,cancelled,Lower
AAS  320C CONTEMP ASIAN AMERICAN NOVELS,35160,TTH,9:30 a.m.-11:00 a.m.,PAR 105,Face-to-face,"LIM, JEEHYUN",open; reserved,Upper
AAS  320K THEORIZING THE HUMAN,35165,TTH,11:00 a.m.-12:30 p.m.,,Face-to-face,"CHHUN, LINA",cancelled,Upper
AAS  325G HIST SE ASIAN DIASP IN US,35170,TTH,9:30 a.m.-11:00 a.m.,GEA 127,Face-to-face,"CHHUN, LINA",open,Upper
AAS  325J SOUTH ASIAN MIGRATION TO US,35175,MWF,9:00 a.m.-10:00 a.m.,,Face-to-face,,cancelled,Upper
AAS  330G URBAN UNREST,35179,MW,3:30 p.m.-5:00 p.m.,BUR 212,Face-to-face,"TANG, ERIC",open,Upper
AAS  330I ASIAN DIAS ON INDIGENOUS LANDS,35180,TTH,9:30 a.m.-11:00 a.m.,,Face-to-face,"MEI-SINGH, LAUREL",cancelled,Upper
AAS  330K ASIAN AMERICANS IN THE SOUTH,35184,TTH,11:00 a.m.-12:30 p.m.,RLP 0.120,Face-to-face,"HO, XUAN AN",open,Upper
AAS  330L ANTHROPOL OF THE HIMALAYAS,35185,TTH,2:00 p.m.-3:30 p.m.,MEZ 1.210,Face-to-face,"HINDMAN, HEATHER ANNE",open,Upper
ACC  310F FOUNDATIONS OF ACCOUNTING,03055,TTH,11:00 a.m.-12:30 p.m.,GSB 2.126,Face-to-face,"VERDUZCO, DAVID B",waitlisted,Lower
ACC  310F FOUNDATIONS OF ACCOUNTING-WB,03060,,,,Internet,"VERDUZCO, DAVID B",open,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03065,TTH,12:30 p.m.-2:00 p.m.,GSB 3.138,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03070,MW,8:00 a.m.-9:30 a.m.,GSB 2.120,Face-to-face,"FANNIN, DANIEL PAUL CLARK",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03075,TTH,8:00 a.m.-9:30 a.m.,GSB 2.120,Face-to-face,"BROWN, TAYLOR S",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03080,MW,9:30 a.m.-11:00 a.m.,CBA 4.328,Face-to-face,"FINLEY, ANNE B",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03085,TTH,11:00 a.m.-12:30 p.m.,GSB 3.138,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03090,MW,9:30 a.m.-11:00 a.m.,GSB 2.120,Face-to-face,"FANNIN, DANIEL PAUL CLARK",closed,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03095,TTH,9:30 a.m.-11:00 a.m.,CBA 4.348,Face-to-face,"EDWARDS, LEIGH",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03100,MW,11:00 a.m.-12:30 p.m.,CBA 4.328,Face-to-face,"FINLEY, ANNE B",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03105,MW,11:00 a.m.-12:30 p.m.,UTC 1.104,Face-to-face,"ALLEN, MEGAN E",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03110,TTH,8:00 a.m.-9:30 a.m.,GSB 3.138,Face-to-face,"FANNIN, DANIEL PAUL CLARK",waitlisted,Lower
