course,unique,days,hour,room,instruction_mode,instructor,status,level
A I w380H AI IN HEALTHCARE-WB  (Whole term),84512,,,,Internet,"DING, YING",open,Graduate
A I w380H AI IN HEALTHCARE-WB  (Whole term),84513,,,,Internet,"DING, YING",open,Graduate
A I w391L MACHINE LEARNING-WB  (Whole term),84514,,,,Internet,"KLIVANS, ADAM R LIU, QIANG",open,Graduate
A I w391L MACHINE LEARNING-WB  (Whole term),84515,,,,Internet,"KLIVANS, ADAM R LIU, QIANG",open,Graduate
A I w394D DEEP LEARNING-WB  (Whole term),84520,,,,Internet,"KRAEHENBUEHL, PHILIPP",open,Graduate
A I w394D DEEP LEARNING-WB  (Whole term),84524,,,,Internet,"KRAEHENBUEHL, PHILIPP",open,Graduate
A I w394R REINFRCMNT LEARN: THRY/PRAC-WB  (Whole term),84525,,,,Internet,"STONE, PETER H",open,Graduate
A I w394R REINFRCMNT LEARN: THRY/PRAC-WB  (Whole term),84529,,,,Internet,"STONE, PETER H",open,Graduate
A I w395T A I IN HEALTHCARE-WB  (Whole term),84530,,,,Internet,"DING, YING",cancelled,Graduate
A I w395T ADV IN DEEP GEN MODELS-WB  (Whole term),84533,,,,Internet,"LIU, QIANG",open,Graduate
A I w395T ADV IN DEEP GEN MODELS-WB  (Whole term),84534,,,,Internet,"LIU, QIANG",open,Graduate
A I w395T ADVANCES IN DEEP LEARNING-WB  (Whole term),84535,,,,Internet,"KRAEHENBUEHL, PHILIPP",open,Graduate
A I w395T ADVANCES IN DEEP LEARNING-WB  (Whole term),84539,,,,Internet,"KRAEHENBUEHL, PHILIPP",open,Graduate
AAS f312 INTRO TO ASIAN AMER HIST-WB  (First term),78260,,,,Internet,"ZHAO, CRYS",waitlisted,Lower
ACC w310F FOUNDATIONS OF ACCOUNTING-WB  (Whole term),70940,,,,Internet,"VERDUZCO, DAVID B",open,Lower
ACC f311 FUNDAMENTALS OF FINANCIAL ACC  (First term),70945,MTWTH,2:00 p.m.-4:00 p.m.,CBA 5.328,Face-to-face,"HAM, HYUNA",open,Lower
ACC f312 FNDMNTLS OF MANAGERIAL ACC-WB  (First term),70950,TWTH,10:00 a.m.-12:30 p.m.,,Internet,"ALLEN, MEGAN E",waitlisted,Lower
ACC s312 FUNDAMENTALS OF MANAGERIAL ACC  (Second term),70985,MTWTH,2:00 p.m.-4:00 p.m.,CBA 5.328,Face-to-face,"FALVEY, LAUREN MARGARET",open,Lower
